sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.178;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;CUHKAgent@84;Gahboninho@85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.078;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TimeDependentAgentHardliner@86;Gahboninho@87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.019;3;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;AgentM@88;Gahboninho@89;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.132;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;AgentLG@90;Gahboninho@91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.020;4;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@92;Gahboninho@93;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.114;61;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;MetaAgent2013@94;Gahboninho@95;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.080;61;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;Atlas32016@96;Gahboninho@97;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
2.007;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;ParsAgent@98;Gahboninho@99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.077;61;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;Mercury@100;Gahboninho@101;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@29b5cd00 failed: failed to construct agent : Execution failed of init<CaduceusDC16@102,Participant[Party102,PartyRepositoryItem[CaduceusDC16,agents.anac.y2017.caduceusdc16.CaduceusDC16,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.NullPointerException: null:[agents.anac.y2017.caduceusdc16.CaduceusDC16, agents.anac.y2011.Gahboninho.Gahboninho];60rounds;No;;0;;;;;;CaduceusDC16;Gahboninho;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.092;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;YXAgent@104;Gahboninho@105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.064;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;PonPokoAgent@106;Gahboninho@107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
;4;Session genius.core.session.Session@42d8062c failed: Failed to execute protocol: Execution failed of Rubick@108:java.lang.NullPointerException: null:[agents.anac.y2017.rubick.Rubick, agents.anac.y2011.Gahboninho.Gahboninho];60rounds;No;;0;;;;;;Rubick;Gahboninho;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.092;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;JonnyBlack@110;Gahboninho@111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.344;61;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;atlas@112;Gahboninho@113;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.120;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Agent_K@114;CUHKAgent@115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.088;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@116;CUHKAgent@117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.077;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@118;CUHKAgent@119;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.538;57;;60rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;IAMhaggler2011@120;CUHKAgent@121;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;0.0;0.0;0.7216666666666667;0.9761884907982836;party1_utility.xml;party2_utility.xml
1.619;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;CUHKAgent@122;IAMhaggler2011@123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.627;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TimeDependentAgentHardliner@124;IAMhaggler2011@125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.007;3;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;AgentM@126;IAMhaggler2011@127;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
1.582;61;;60rounds;Yes;No;2;0.73828;0.87833;0.00000;0.21194;1.61662;AgentLG@128;IAMhaggler2011@129;0.8783333333333334;0.7382820437475793;0.8783333333333334;0.7382820437475793;0.0;0.0;0.0;0.0;0.8783333333333334;0.7382820437475793;party1_utility.xml;party2_utility.xml
0.021;4;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@130;IAMhaggler2011@131;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
1.682;58;;60rounds;Yes;No;2;0.63070;0.74250;0.14936;0.30088;1.37320;MetaAgent2013@132;IAMhaggler2011@133;0.7424999999999999;0.6307024785138831;0.7424999999999999;0.6307024785138831;0.0;0.0;0.0;0.0;0.7424999999999999;0.6307024785138831;party1_utility.xml;party2_utility.xml
0.844;38;;60rounds;Yes;No;2;0.74732;0.79750;0.08134;0.18167;1.54482;Atlas32016@134;IAMhaggler2011@135;0.7974999999999999;0.7473213482870438;0.7974999999999999;0.7473213482870438;0.7974999999999999;0.0;0.0;0.0;0.7974999999999999;0.7473213482870438;party1_utility.xml;party2_utility.xml
2.560;53;;60rounds;Yes;No;2;0.73417;0.77113;0.14237;0.16544;1.50530;ParsAgent@136;IAMhaggler2011@137;0.7341666666666666;0.7711328574887601;0.7341666666666666;0.7711328574887601;0.7341666666666666;0.0;0.0;0.0;0.7341666666666666;0.7711328574887601;party1_utility.xml;party2_utility.xml
1.704;61;;60rounds;Yes;No;2;0.54227;0.91167;0.07924;0.40653;1.45394;Mercury@138;IAMhaggler2011@139;0.9116666666666667;0.5422699184244845;0.9116666666666667;0.5422699184244845;0.9116666666666667;0.0;0.0;0.0;0.9116666666666667;0.5422699184244845;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@5bcea91b failed: failed to construct agent : Execution failed of init<CaduceusDC16@140,Participant[Party140,PartyRepositoryItem[CaduceusDC16,agents.anac.y2017.caduceusdc16.CaduceusDC16,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.NullPointerException: null:[agents.anac.y2017.caduceusdc16.CaduceusDC16, agents.anac.y2011.IAMhaggler2011.IAMhaggler2011];60rounds;No;;0;;;;;;CaduceusDC16;IAMhaggler2011;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
1.702;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;YXAgent@142;IAMhaggler2011@143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.666;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;PonPokoAgent@144;IAMhaggler2011@145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
;4;Session genius.core.session.Session@4923ab24 failed: Failed to execute protocol: Execution failed of Rubick@146:java.lang.NullPointerException: null:[agents.anac.y2017.rubick.Rubick, agents.anac.y2011.IAMhaggler2011.IAMhaggler2011];60rounds;No;;0;;;;;;Rubick;IAMhaggler2011;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
